cost,balance,conservation,protected,config,standard
2.28207e+08,11.8753,2.84101,,,1.44101
2.28348e+08,6.64788,2.7884,,W8:head,1.09723
2.28872e+08,4.83941,0.899211,,W8:embed|head,0.889862
2.41455e+08,4.74143,0.899408,,W8:b6-11_attn|embed|head,0.694849
2.66904e+08,2.12683,1.06168,head,bf16:head;W8:b18-23_mlp|b6-11_attn|embed,0.383177
2.80535e+08,1.48849,0.931632,embed|head,bf16:embed|head;W8:b18-23_attn|b18-23_mlp|b6-11_attn,0.294271
2.93118e+08,1.40769,0.923251,embed|head,bf16:embed|head;W8:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn,0.22958
3.18284e+08,1.28045,0.89233,embed|head,bf16:embed|head;W8:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.138758
3.4345e+08,1.14551,0.813816,embed|head,bf16:embed|head;W8:b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.0923576
3.56033e+08,1.09842,0.794024,embed|head,bf16:embed|head;W8:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.0736072
4.57744e+08,0.159939,0.274627,embed|head,bf16:embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.0171707
4.8291e+08,0.151854,0.266573,embed|b6-11_attn|head,bf16:b6-11_attn|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp,0.013897
5.08076e+08,0.13062,0.247653,embed|b6-11_attn|b18-23_attn|head,bf16:b18-23_attn|b6-11_attn|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp|b6-11_mlp,0.0114016
5.58408e+08,0.121578,0.237561,embed|b6-11_attn|b6-11_mlp|b18-23_attn|head,bf16:b18-23_attn|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp,0.00824313
6.33905e+08,0.0404329,0.0230466,embed|b6-11_attn|b6-11_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|head,bf16:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp,0.00443704
6.59071e+08,0.0341665,0.0189878,embed|b0-5_attn|b6-11_attn|b6-11_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|head,bf16:b0-5_attn|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp|b12-17_mlp,0.00350317
7.09403e+08,0.0175552,0.00328232,embed|b0-5_attn|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp,0.00231104
8.62495e+08,0.00766129,0.00217885,embed|b0-5_attn|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:b0-5_mlp,0.000442282
9.12826e+08,0,0,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,0
